[04:16:50.601] Solucion #1: A1; B3; C6; D8; E10; F5; G9; H2; I4; J7; 
[04:16:51.401] Solucion #291: A5; B3; C1; D9; E7; F2; G10; H8; I6; J4; 
[04:16:51.401] Solucion #292: A5; B3; C1; D10; E7; F9; G4; H2; I8; J6; 
[04:16:51.401] Solucion #293: A5; B3; C6; D9; E2; F4; G7; H10; I8; J1; 
[04:16:51.401] Solucion #294: A5; B3; C6; D9; E2; F8; G1; H4; I7; J10; 
[04:16:51.401] Solucion #295: A5; B3; C6; D9; E7; F1; G4; H2; I8; J10; 
[04:16:51.401] Solucion #296: A5; B3; C6; D10; E7; F2; G4; H8; I1; J9; 
[04:16:51.401] Solucion #297: A5; B3; C6; D10; E7; F4; G1; H8; I2; J9; 
[04:16:51.401] Solucion #298: A5; B3; C8; D4; E7; F1; G10; H2; I6; J9; 
[04:16:51.401] Solucion #299: A5; B3; C8; D6; E2; F9; G1; H4; I7; J10; 
[04:16:51.401] Solucion #300: A5; B3; C8; D10; E2; F4; G1; H7; I9; J6; 
[04:16:51.411] Solucion #301: A5; B3; C9; D4; E2; F8; G10; H7; I1; J6; 
[04:16:51.411] Solucion #302: A5; B3; C9; D4; E10; F8; G6; H2; I7; J1; 
[04:16:51.411] Solucion #303: A5; B3; C9; D6; E8; F2; G4; H1; I7; J10; 
[04:16:51.411] Solucion #304: A5; B3; C9; D6; E10; F2; G7; H1; I4; J8; 
[04:16:51.411] Solucion #305: A5; B3; C9; D7; E2; F4; G1; H10; I8; J6; 
[04:16:51.411] Solucion #306: A5; B3; C9; D7; E10; F2; G6; H8; I1; J4; 
[04:16:51.411] Solucion #307: A5; B3; C10; D4; E7; F9; G2; H6; I8; J1; 
[04:16:51.411] Solucion #308: A5; B3; C10; D6; E2; F9; G7; H4; I8; J1; 
[04:16:51.411] Solucion #309: A5; B3; C10; D6; E4; F9; G1; H8; I2; J7; 
[04:16:51.411] Solucion #310: A5; B3; C10; D7; E2; F6; G9; H1; I8; J4; 
[04:16:51.411] Solucion #311: A5; B3; C10; D7; E4; F1; G9; H2; I6; J8; 
[04:16:51.411] Solucion #312: A5; B7; C1; D4; E6; F9; G3; H10; I8; J2; 
[04:16:51.411] Solucion #313: A5; B7; C1; D6; E8; F2; G4; H9; I3; J10; 
[04:16:51.421] Solucion #314: A5; B7; C1; D10; E6; F9; G3; H8; I4; J2; 
[04:16:51.421] Solucion #315: A5; B7; C2; D6; E8; F1; G4; H9; I3; J10; 
[04:16:51.421] Solucion #316: A5; B7; C2; D10; E8; F1; G4; H9; I3; J6; 
[04:16:51.421] Solucion #317: A5; B7; C2; D10; E8; F4; G1; H3; I9; J6; 
[04:16:51.421] Solucion #318: A5; B7; C4; D1; E3; F8; G10; H2; I9; J6; 
[04:16:51.421] Solucion #319: A5; B7; C4; D1; E8; F2; G9; H6; I3; J10; 
[04:16:51.421] Solucion #320: A5; B7; C4; D1; E8; F6; G3; H10; I2; J9; 
[04:16:51.421] Solucion #321: A5; B7; C4; D10; E3; F6; G9; H2; I8; J1; 
[04:16:51.421] Solucion #322: A5; B7; C9; D1; E3; F8; G10; H2; I4; J6; 
[04:16:51.421] Solucion #323: A5; B7; C9; D3; E6; F2; G10; H8; I1; J4; 
[04:16:51.421] Solucion #324: A5; B7; C9; D3; E8; F2; G4; H6; I1; J10; 
[04:16:51.421] Solucion #325: A5; B7; C9; D3; E8; F4; G1; H10; I2; J6; 
[04:16:51.431] Solucion #326: A5; B7; C9; D4; E2; F8; G10; H3; I1; J6; 
[04:16:51.431] Solucion #327: A5; B7; C9; D6; E3; F1; G10; H8; I2; J4; 
[04:16:51.431] Solucion #328: A5; B7; C10; D4; E2; F9; G3; H6; I8; J1; 
[04:16:51.431] Solucion #329: A5; B7; C10; D6; E3; F1; G8; H4; I2; J9; 
[04:16:51.431] Solucion #330: A5; B8; C1; D3; E6; F9; G7; H10; I4; J2; 
[04:16:51.431] Solucion #331: A5; B8; C1; D4; E6; F9; G2; H10; I3; J7; 
[04:16:51.441] Solucion #332: A5; B8; C1; D9; E7; F2; G10; H3; I6; J4; 
[04:16:51.441] Solucion #333: A5; B8; C2; D4; E10; F1; G9; H6; I3; J7; 
[04:16:51.441] Solucion #334: A5; B8; C2; D4; E10; F7; G9; H6; I3; J1; 
[04:16:51.441] Solucion #335: A5; B8; C2; D7; E3; F1; G9; H4; I6; J10; 
[04:16:51.441] Solucion #336: A5; B8; C2; D7; E3; F6; G9; H1; I10; J4; 
[04:16:51.441] Solucion #337: A5; B8; C2; D7; E10; F3; G1; H9; I4; J6; 
[04:16:51.461] Solucion #338: A5; B8; C2; D9; E6; F3; G1; H4; I7; J10; 
[04:16:51.461] Solucion #339: A5; B8; C4; D1; E3; F9; G7; H10; I2; J6; 
[04:16:51.461] Solucion #340: A5; B8; C4; D1; E7; F2; G10; H6; I9; J3; 
[04:16:51.461] Solucion #341: A5; B8; C4; D7; E10; F3; G1; H6; I9; J2; 
[04:16:51.461] Solucion #342: A5; B8; C4; D9; E7; F3; G1; H6; I2; J10; 
[04:16:51.461] Solucion #343: A5; B8; C6; D1; E3; F7; G9; H4; I2; J10; 
[04:16:51.461] Solucion #344: A5; B8; C6; D3; E10; F2; G7; H9; I4; J1; 
[04:16:51.461] Solucion #345: A5; B8; C6; D9; E3; F1; G4; H7; I10; J2; 
[04:16:51.473] Solucion #346: A5; B8; C10; D1; E3; F6; G9; H7; I2; J4; 
[04:16:51.479] Solucion #347: A5; B9; C1; D3; E7; F2; G10; H8; I6; J4; 
[04:16:51.482] Solucion #348: A5; B9; C1; D4; E2; F8; G10; H7; I3; J6; 
[04:16:51.487] Solucion #349: A5; B9; C1; D10; E4; F7; G3; H8; I6; J2; 
[04:16:51.487] Solucion #350: A5; B9; C1; D10; E7; F3; G8; H2; I4; J6; 
[04:16:51.489] Solucion #351: A5; B9; C2; D4; E8; F1; G3; H6; I10; J7; 
[04:16:51.491] Solucion #352: A5; B9; C2; D6; E8; F3; G1; H4; I7; J10; 
[04:16:51.493] Solucion #353: A5; B9; C2; D10; E3; F6; G8; H1; I4; J7; 
[04:16:51.494] Solucion #354: A5; B9; C2; D10; E7; F4; G1; H8; I6; J3; 
[04:16:51.498] Solucion #355: A5; B9; C4; D6; E10; F2; G7; H1; I3; J8; 
[04:16:51.514] Solucion #356: A5; B10; C1; D6; E4; F2; G8; H3; I9; J7; 
[04:16:51.546] Solucion #357: A5; B10; C4; D1; E3; F8; G2; H7; I9; J6; 
[04:16:51.547] Solucion #358: A5; B10; C4; D1; E3; F9; G7; H2; I8; J6; 
[04:16:51.549] Solucion #359: A5; B10; C4; D9; E3; F8; G2; H7; I1; J6; 
[04:16:51.550] Solucion #360: A5; B10; C6; D4; E2; F7; G9; H3; I1; J8; 
[04:16:51.551] Solucion #361: A5; B10; C6; D4; E2; F8; G3; H9; I7; J1; 
[04:16:51.553] Solucion #362: A5; B10; C8; D1; E3; F9; G7; H2; I4; J6; 
[04:16:51.564] Solucion #363: A6; B1; C3; D10; E8; F2; G4; H9; I7; J5; 
[04:16:51.567] Solucion #364: A6; B1; C5; D7; E9; F3; G8; H2; I4; J10; 
[04:16:51.567] Solucion #365: A6; B1; C5; D7; E9; F4; G2; H8; I10; J3; 
[04:16:51.569] Solucion #366: A6; B1; C7; D2; E8; F3; G9; H4; I10; J5; 
[04:16:51.571] Solucion #367: A6; B1; C7; D10; E8; F2; G4; H9; I3; J5; 
[04:16:51.572] Solucion #368: A6; B1; C7; D10; E8; F3; G9; H4; I2; J5; 
[04:16:51.580] Solucion #369: A6; B1; C10; D5; E7; F9; G3; H8; I2; J4; 
[04:16:51.608] Solucion #370: A6; B2; C7; D5; E1; F9; G4; H10; I8; J3; 
[04:16:51.612] Solucion #371: A6; B2; C9; D1; E4; F7; G10; H3; I5; J8; 
[04:16:51.612] Solucion #372: A6; B2; C9; D1; E8; F5; G3; H10; I7; J4; 
[04:16:51.613] Solucion #373: A6; B2; C9; D5; E3; F8; G10; H7; I4; J1; 
[04:16:51.615] Solucion #374: A6; B2; C9; D7; E3; F10; G8; H5; I1; J4; 
[04:16:51.617] Solucion #375: A6; B2; C10; D1; E4; F8; G3; H9; I7; J5; 
[04:16:51.617] Solucion #376: A6; B2; C10; D1; E7; F4; G8; H3; I5; J9; 
[04:16:51.620] Solucion #377: A6; B2; C10; D7; E9; F3; G1; H4; I8; J5; 
[04:16:51.621] Solucion #378: A6; B2; C10; D8; E4; F9; G1; H3; I5; J7; 
[04:16:51.625] Solucion #379: A6; B3; C1; D10; E8; F5; G2; H4; I9; J7; 
[04:16:51.625] Solucion #380: A6; B3; C5; D2; E8; F10; G7; H4; I1; J9; 
[04:16:51.626] Solucion #381: A6; B3; C5; D8; E1; F9; G4; H2; I7; J10; 
[04:16:51.627] Solucion #382: A6; B3; C5; D10; E8; F4; G2; H7; I9; J1; 
[04:16:51.627] Solucion #383: A6; B3; C7; D2; E4; F8; G10; H5; I9; J1; 
[04:16:51.628] Solucion #384: A6; B3; C7; D4; E1; F8; G10; H5; I2; J9; 
[04:16:51.629] Solucion #385: A6; B3; C7; D10; E4; F9; G1; H5; I2; J8; 
[04:16:51.630] Solucion #386: A6; B3; C7; D10; E8; F2; G4; H1; I9; J5; 
[04:16:51.631] Solucion #387: A6; B3; C9; D2; E5; F8; G10; H7; I4; J1; 
[04:16:51.633] Solucion #388: A6; B3; C9; D4; E1; F8; G10; H2; I7; J5; 
[04:16:51.633] Solucion #389: A6; B3; C9; D4; E8; F5; G2; H10; I1; J7; 
[04:16:51.633] Solucion #390: A6; B3; C9; D4; E8; F10; G2; H7; I5; J1; 
[04:16:51.633] Solucion #391: A6; B3; C9; D7; E1; F4; G2; H5; I8; J10; 
[04:16:51.633] Solucion #392: A6; B3; C9; D7; E1; F10; G2; H5; I8; J4; 
[04:16:51.633] Solucion #393: A6; B3; C10; D2; E4; F9; G1; H8; I5; J7; 
[04:16:51.633] Solucion #394: A6; B3; C10; D7; E5; F2; G9; H1; I8; J4; 
[04:16:51.643] Solucion #395: A6; B3; C10; D8; E5; F2; G4; H1; I7; J9; 
[04:16:51.643] Solucion #396: A6; B4; C1; D5; E8; F10; G3; H7; I9; J2; 
[04:16:51.643] Solucion #397: A6; B4; C1; D7; E9; F2; G8; H5; I3; J10; 
[04:16:51.643] Solucion #398: A6; B4; C2; D5; E8; F10; G1; H3; I9; J7; 
[04:16:51.643] Solucion #399: A6; B4; C2; D7; E9; F3; G1; H8; I10; J5; 
[04:16:51.643] Solucion #400: A6; B4; C2; D8; E3; F7; G10; H1; I9; J5; 
[04:16:51.643] Solucion #401: A6; B4; C2; D8; E3; F9; G7; H5; I10; J1; 
[04:16:51.643] Solucion #402: A6; B4; C2; D8; E5; F9; G1; H3; I10; J7; 
[04:16:51.643] Solucion #403: A6; B4; C2; D10; E8; F3; G1; H9; I7; J5; 
[04:16:51.643] Solucion #404: A6; B4; C7; D1; E8; F5; G2; H9; I3; J10; 
[04:16:51.643] Solucion #405: A6; B4; C7; D10; E3; F5; G8; H1; I9; J2; 
[04:16:51.643] Solucion #406: A6; B4; C7; D10; E3; F9; G2; H5; I8; J1; 
[04:16:51.643] Solucion #407: A6; B4; C7; D10; E8; F3; G1; H9; I2; J5; 
[04:16:51.653] Solucion #408: A6; B4; C9; D1; E3; F7; G10; H8; I2; J5; 
[04:16:51.653] Solucion #409: A6; B4; C9; D1; E3; F10; G7; H2; I8; J5; 
[04:16:51.653] Solucion #410: A6; B4; C9; D5; E3; F10; G7; H2; I8; J1; 
[04:16:51.653] Solucion #411: A6; B4; C10; D1; E5; F2; G8; H3; I7; J9; 
[04:16:51.653] Solucion #412: A6; B4; C10; D5; E3; F9; G7; H2; I8; J1; 
[04:16:51.653] Solucion #413: A6; B4; C10; D7; E5; F2; G8; H1; I3; J9; 
[04:16:51.663] Solucion #414: A6; B8; C1; D4; E7; F10; G2; H9; I5; J3; 
[04:16:51.663] Solucion #415: A6; B8; C1; D4; E9; F5; G2; H10; I3; J7; 
[04:16:51.663] Solucion #416: A6; B8; C1; D5; E7; F2; G10; H3; I9; J4; 
[04:16:51.663] Solucion #417: A6; B8; C1; D5; E9; F2; G4; H7; I3; J10; 
[04:16:51.663] Solucion #418: A6; B8; C1; D7; E4; F2; G9; H5; I3; J10; 
[04:16:51.663] Solucion #419: A6; B8; C2; D4; E1; F9; G5; H3; I10; J7; 
[04:16:51.663] Solucion #420: A6; B8; C2; D4; E9; F7; G10; H1; I3; J5; 
[04:16:51.663] Solucion #421: A6; B8; C2; D5; E1; F9; G4; H10; I7; J3; 
[04:16:51.663] Solucion #422: A6; B8; C2; D5; E3; F9; G7; H10; I4; J1; 
[04:16:51.663] Solucion #423: A6; B8; C2; D7; E1; F3; G5; H9; I4; J10; 
[04:16:51.663] Solucion #424: A6; B8; C2; D7; E9; F3; G1; H4; I10; J5; 
[04:16:51.663] Solucion #425: A6; B8; C3; D1; E9; F7; G10; H4; I2; J5; 
[04:16:51.663] Solucion #426: A6; B8; C3; D5; E9; F2; G10; H7; I4; J1; 
[04:16:51.663] Solucion #427: A6; B8; C3; D7; E4; F10; G1; H9; I5; J2; 
[04:16:51.663] Solucion #428: A6; B8; C5; D1; E4; F7; G10; H3; I9; J2; 
[04:16:51.663] Solucion #429: A6; B8; C5; D1; E4; F9; G7; H3; I10; J2; 
[04:16:51.673] Solucion #430: A6; B8; C5; D2; E4; F10; G7; H9; I3; J1; 
[04:16:51.673] Solucion #431: A6; B8; C5; D2; E9; F3; G10; H7; I4; J1; 
[04:16:51.673] Solucion #432: A6; B8; C5; D2; E9; F7; G4; H1; I3; J10; 
[04:16:51.673] Solucion #433: A6; B8; C10; D1; E4; F2; G7; H9; I3; J5; 
[04:16:51.673] Solucion #434: A6; B8; C10; D2; E4; F9; G1; H3; I5; J7; 
[04:16:51.673] Solucion #435: A6; B9; C1; D4; E7; F10; G8; H2; I5; J3; 
[04:16:51.683] Solucion #436: A6; B9; C2; D10; E8; F3; G1; H4; I7; J5; 
[04:16:51.683] Solucion #437: A6; B9; C3; D1; E4; F7; G10; H2; I5; J8; 
[04:16:51.683] Solucion #438: A6; B9; C3; D1; E4; F8; G10; H2; I7; J5; 
[04:16:51.683] Solucion #439: A6; B9; C3; D1; E8; F2; G5; H7; I10; J4; 
[04:16:51.693] Solucion #440: A6; B9; C5; D1; E8; F4; G2; H7; I3; J10; 
[04:16:51.693] Solucion #441: A6; B9; C5; D8; E1; F4; G2; H7; I10; J3; 
[04:16:51.693] Solucion #442: A6; B9; C5; D10; E1; F4; G2; H8; I3; J7; 
[04:16:51.693] Solucion #443: A6; B9; C7; D1; E4; F2; G5; H8; I10; J3; 
[04:16:51.693] Solucion #444: A6; B9; C7; D1; E4; F2; G10; H8; I3; J5; 
[04:16:51.693] Solucion #445: A6; B9; C7; D2; E8; F3; G1; H4; I10; J5; 
[04:16:51.703] Solucion #446: A6; B10; C2; D5; E8; F4; G1; H3; I9; J7; 
[04:16:51.703] Solucion #447: A6; B10; C2; D7; E5; F3; G1; H9; I4; J8; 
[04:16:51.703] Solucion #448: A6; B10; C3; D1; E4; F7; G9; H2; I5; J8; 
[04:16:51.703] Solucion #449: A6; B10; C3; D1; E8; F5; G2; H9; I7; J4; 
[04:16:51.703] Solucion #450: A6; B10; C3; D5; E8; F2; G9; H7; I1; J4; 
[04:16:51.703] Solucion #451: A6; B10; C3; D5; E9; F2; G4; H7; I1; J8; 
[04:16:51.703] Solucion #452: A6; B10; C3; D7; E4; F2; G9; H5; I1; J8; 
[04:16:51.713] Solucion #453: A6; B10; C5; D7; E1; F3; G8; H2; I4; J9; 
[04:16:51.713] Solucion #454: A6; B10; C7; D2; E4; F9; G1; H8; I5; J3; 
[04:16:51.713] Solucion #455: A7; B1; C3; D6; E8; F10; G4; H9; I5; J2; 
[04:16:51.713] Solucion #456: A7; B1; C3; D6; E8; F10; G5; H9; I2; J4; 
[04:16:51.723] Solucion #457: A7; B1; C4; D6; E9; F3; G10; H8; I2; J5; 
[04:16:51.723] Solucion #458: A7; B1; C4; D9; E5; F8; G10; H3; I6; J2; 
[04:16:51.723] Solucion #459: A7; B1; C6; D8; E2; F4; G9; H3; I5; J10; 
[04:16:51.723] Solucion #460: A7; B1; C6; D9; E2; F4; G8; H3; I5; J10; 
[04:16:51.723] Solucion #461: A7; B1; C8; D5; E2; F9; G3; H6; I4; J10; 
[04:16:51.723] Solucion #462: A7; B1; C10; D2; E5; F8; G4; H9; I3; J6; 
[04:16:51.733] Solucion #463: A7; B2; C4; D6; E9; F5; G10; H1; I3; J8; 
[04:16:51.733] Solucion #464: A7; B2; C4; D8; E10; F5; G9; H6; I1; J3; 
[04:16:51.733] Solucion #465: A7; B2; C6; D1; E10; F5; G3; H9; I4; J8; 
[04:16:51.733] Solucion #466: A7; B2; C6; D3; E10; F8; G5; H9; I4; J1; 
[04:16:51.733] Solucion #467: A7; B2; C6; D8; E10; F1; G4; H9; I5; J3; 
[04:16:51.743] Solucion #468: A7; B2; C6; D9; E1; F10; G5; H3; I8; J4; 
[04:16:51.743] Solucion #469: A7; B2; C8; D1; E9; F4; G6; H10; I3; J5; 
[04:16:51.743] Solucion #470: A7; B2; C8; D3; E1; F10; G5; H9; I6; J4; 
[04:16:51.743] Solucion #471: A7; B2; C8; D5; E9; F1; G10; H4; I6; J3; 
[04:16:51.743] Solucion #472: A7; B2; C10; D6; E1; F9; G5; H3; I8; J4; 
[04:16:51.743] Solucion #473: A7; B3; C1; D6; E9; F5; G10; H8; I4; J2; 
[04:16:51.753] Solucion #474: A7; B3; C1; D8; E5; F9; G6; H10; I2; J4; 
[04:16:51.753] Solucion #475: A7; B3; C6; D2; E10; F1; G4; H8; I5; J9; 
[04:16:51.753] Solucion #476: A7; B3; C6; D2; E10; F1; G9; H5; I8; J4; 
[04:16:51.753] Solucion #477: A7; B3; C6; D8; E1; F4; G9; H5; I2; J10; 
[04:16:51.753] Solucion #478: A7; B3; C6; D8; E1; F5; G9; H2; I4; J10; 
[04:16:51.753] Solucion #479: A7; B3; C6; D8; E10; F1; G4; H2; I5; J9; 
[04:16:51.753] Solucion #480: A7; B3; C6; D8; E10; F1; G9; H5; I2; J4; 
[04:16:51.753] Solucion #481: A7; B3; C6; D9; E1; F10; G4; H2; I8; J5; 
[04:16:51.753] Solucion #482: A7; B3; C6; D9; E5; F1; G4; H10; I8; J2; 
[04:16:51.753] Solucion #483: A7; B3; C8; D2; E4; F1; G10; H5; I9; J6; 
[04:16:51.753] Solucion #484: A7; B3; C8; D2; E5; F1; G10; H4; I6; J9; 
[04:16:51.753] Solucion #485: A7; B3; C8; D6; E1; F10; G2; H5; I9; J4; 
[04:16:51.753] Solucion #486: A7; B3; C8; D6; E2; F9; G5; H1; I4; J10; 
[04:16:51.753] Solucion #487: A7; B3; C8; D6; E2; F10; G5; H1; I4; J9; 
[04:16:51.753] Solucion #488: A7; B3; C8; D6; E2; F10; G5; H1; I9; J4; 
[04:16:51.753] Solucion #489: A7; B3; C8; D6; E4; F1; G10; H5; I9; J2; 
[04:16:51.753] Solucion #490: A7; B3; C10; D2; E5; F9; G4; H1; I8; J6; 
[04:16:51.753] Solucion #491: A7; B3; C10; D2; E9; F6; G4; H1; I8; J5; 
[04:16:51.753] Solucion #492: A7; B3; C10; D6; E1; F9; G5; H8; I2; J4; 
[04:16:51.753] Solucion #493: A7; B3; C10; D6; E2; F9; G5; H1; I8; J4; 
[04:16:51.763] Solucion #494: A7; B4; C1; D8; E2; F9; G6; H3; I5; J10; 
[04:16:51.763] Solucion #495: A7; B4; C1; D8; E6; F3; G10; H2; I5; J9; 
[04:16:51.763] Solucion #496: A7; B4; C1; D8; E6; F3; G10; H2; I9; J5; 
[04:16:51.763] Solucion #497: A7; B4; C1; D9; E6; F3; G10; H8; I5; J2; 
[04:16:51.763] Solucion #498: A7; B4; C2; D5; E8; F10; G3; H6; I9; J1; 
[04:16:51.763] Solucion #499: A7; B4; C2; D5; E9; F1; G10; H8; I6; J3; 
[04:16:51.763] Solucion #500: A7; B4; C2; D5; E9; F6; G10; H3; I1; J8; 
[04:16:51.763] Solucion #501: A7; B4; C2; D9; E5; F10; G8; H6; I3; J1; 
[04:16:51.773] Solucion #502: A7; B4; C2; D9; E6; F3; G10; H8; I1; J5; 
[04:16:51.773] Solucion #503: A7; B4; C6; D1; E9; F5; G3; H8; I10; J2; 
[04:16:51.773] Solucion #504: A7; B4; C6; D8; E10; F1; G3; H5; I2; J9; 
[04:16:51.773] Solucion #505: A7; B4; C8; D1; E5; F9; G2; H6; I10; J3; 
[04:16:51.773] Solucion #506: A7; B4; C8; D1; E5; F10; G2; H6; I3; J9; 
[04:16:51.773] Solucion #507: A7; B4; C8; D5; E9; F1; G10; H2; I6; J3; 
[04:16:51.773] Solucion #508: A7; B4; C10; D5; E2; F9; G3; H6; I8; J1; 
[04:16:51.773] Solucion #509: A7; B4; C10; D5; E9; F1; G3; H8; I6; J2; 
[04:16:51.773] Solucion #510: A7; B5; C1; D6; E4; F10; G8; H3; I9; J2; 
[04:16:51.773] Solucion #511: A7; B5; C1; D6; E9; F3; G8; H4; I2; J10; 
[04:16:51.773] Solucion #512: A7; B5; C1; D8; E6; F3; G9; H2; I4; J10; 
[04:16:51.773] Solucion #513: A7; B5; C1; D8; E10; F3; G6; H9; I2; J4; 
[04:16:51.783] Solucion #514: A7; B5; C2; D6; E1; F10; G4; H9; I3; J8; 
[04:16:51.783] Solucion #515: A7; B5; C2; D6; E1; F10; G8; H3; I9; J4; 
[04:16:51.783] Solucion #516: A7; B5; C2; D8; E1; F3; G9; H6; I4; J10; 
[04:16:51.783] Solucion #517: A7; B5; C2; D8; E1; F4; G9; H3; I6; J10; 
[04:16:51.783] Solucion #518: A7; B5; C2; D8; E10; F3; G9; H6; I4; J1; 
[04:16:51.783] Solucion #519: A7; B5; C3; D1; E9; F4; G2; H10; I8; J6; 
[04:16:51.783] Solucion #520: A7; B5; C3; D1; E9; F4; G8; H10; I2; J6; 
[04:16:51.783] Solucion #521: A7; B5; C3; D9; E6; F10; G2; H4; I1; J8; 
[04:16:51.783] Solucion #522: A7; B5; C8; D1; E4; F6; G9; H2; I10; J3; 
[04:16:51.783] Solucion #523: A7; B5; C8; D1; E4; F10; G3; H6; I9; J2; 
[04:16:51.783] Solucion #524: A7; B5; C8; D1; E9; F4; G2; H10; I3; J6; 
[04:16:51.783] Solucion #525: A7; B5; C8; D2; E9; F3; G6; H4; I1; J10; 
[04:16:51.783] Solucion #526: A7; B5; C10; D1; E4; F6; G3; H9; I2; J8; 
[04:16:51.783] Solucion #527: A7; B5; C10; D1; E6; F4; G2; H8; I3; J9; 
[04:16:51.783] Solucion #528: A7; B5; C10; D2; E4; F8; G3; H9; I6; J1; 
[04:16:51.793] Solucion #529: A7; B9; C1; D5; E2; F6; G3; H10; I8; J4; 
[04:16:51.793] Solucion #530: A7; B9; C2; D5; E1; F4; G10; H8; I6; J3; 
[04:16:51.793] Solucion #531: A7; B9; C2; D5; E8; F1; G3; H10; I6; J4; 
[04:16:51.793] Solucion #532: A7; B9; C2; D6; E1; F3; G5; H8; I10; J4; 
[04:16:51.793] Solucion #533: A7; B9; C3; D1; E4; F8; G5; H2; I10; J6; 
[04:16:51.793] Solucion #534: A7; B9; C3; D1; E10; F8; G5; H2; I4; J6; 
[04:16:51.793] Solucion #535: A7; B9; C3; D5; E2; F10; G6; H4; I1; J8; 
[04:16:51.793] Solucion #536: A7; B9; C3; D6; E2; F10; G5; H1; I8; J4; 
[04:16:51.803] Solucion #537: A7; B9; C3; D8; E2; F4; G6; H1; I10; J5; 
[04:16:51.803] Solucion #538: A7; B9; C4; D1; E5; F10; G2; H6; I8; J3; 
[04:16:51.803] Solucion #539: A7; B9; C4; D2; E5; F8; G10; H1; I3; J6; 
[04:16:51.803] Solucion #540: A7; B9; C4; D6; E1; F10; G2; H5; I3; J8; 
[04:16:51.803] Solucion #541: A7; B9; C6; D2; E10; F1; G3; H5; I8; J4; 
[04:16:51.803] Solucion #542: A7; B9; C6; D3; E1; F8; G5; H2; I4; J10; 
[04:16:51.813] Solucion #543: A7; B10; C3; D1; E9; F5; G8; H2; I4; J6; 
[04:16:51.813] Solucion #544: A7; B10; C3; D5; E9; F1; G4; H2; I8; J6; 
[04:16:51.813] Solucion #545: A7; B10; C4; D1; E5; F9; G2; H6; I8; J3; 
[04:16:51.813] Solucion #546: A7; B10; C4; D2; E9; F3; G6; H8; I1; J5; 
[04:16:51.823] Solucion #547: A7; B10; C6; D3; E1; F8; G4; H2; I9; J5; 
[04:16:51.823] Solucion #548: A8; B1; C3; D6; E9; F7; G10; H4; I2; J5; 
[04:16:51.823] Solucion #549: A8; B1; C3; D9; E7; F2; G4; H6; I10; J5; 
[04:16:51.823] Solucion #550: A8; B1; C3; D10; E6; F9; G5; H2; I4; J7; 
[04:16:51.833] Solucion #551: A8; B1; C4; D2; E10; F6; G9; H3; I5; J7; 
[04:16:51.833] Solucion #552: A8; B1; C4; D6; E10; F2; G5; H3; I9; J7; 
[04:16:51.833] Solucion #553: A8; B1; C4; D7; E9; F2; G5; H10; I6; J3; 
[04:16:51.833] Solucion #554: A8; B1; C4; D7; E10; F6; G9; H2; I5; J3; 
[04:16:51.833] Solucion #555: A8; B1; C4; D9; E7; F10; G3; H6; I2; J5; 
[04:16:51.833] Solucion #556: A8; B1; C5; D9; E2; F4; G7; H3; I10; J6; 
[04:16:51.833] Solucion #557: A8; B1; C5; D9; E2; F6; G10; H3; I7; J4; 
[04:16:51.833] Solucion #558: A8; B1; C7; D2; E10; F6; G4; H9; I5; J3; 
[04:16:51.833] Solucion #559: A8; B1; C7; D4; E2; F9; G5; H3; I10; J6; 
[04:16:51.833] Solucion #560: A8; B1; C9; D2; E5; F7; G10; H3; I6; J4; 
[04:16:51.843] Solucion #561: A8; B2; C5; D1; E9; F4; G10; H7; I3; J6; 
[04:16:51.843] Solucion #562: A8; B2; C5; D3; E9; F7; G10; H4; I6; J1; 
[04:16:51.853] Solucion #563: A8; B2; C9; D1; E6; F4; G10; H7; I5; J3; 
[04:16:51.853] Solucion #564: A8; B2; C9; D3; E6; F4; G1; H10; I5; J7; 
[04:16:51.853] Solucion #565: A8; B3; C1; D7; E2; F10; G6; H4; I9; J5; 
[04:16:51.863] Solucion #566: A8; B3; C1; D10; E5; F9; G6; H4; I2; J7; 
[04:16:51.863] Solucion #567: A8; B3; C5; D2; E9; F6; G10; H7; I4; J1; 
[04:16:51.863] Solucion #568: A8; B3; C5; D2; E10; F1; G6; H4; I9; J7; 
[04:16:51.863] Solucion #569: A8; B3; C5; D9; E1; F6; G10; H7; I2; J4; 
[04:16:51.863] Solucion #570: A8; B3; C5; D9; E2; F6; G10; H7; I1; J4; 
[04:16:51.863] Solucion #571: A8; B3; C5; D10; E1; F6; G4; H2; I7; J9; 
[04:16:51.863] Solucion #572: A8; B3; C5; D10; E2; F9; G6; H4; I7; J1; 
[04:16:51.863] Solucion #573: A8; B3; C7; D4; E2; F9; G6; H10; I5; J1; 
[04:16:51.863] Solucion #574: A8; B3; C9; D4; E10; F1; G6; H2; I5; J7; 
[04:16:51.873] Solucion #575: A8; B4; C1; D7; E2; F10; G6; H9; I3; J5; 
[04:16:51.873] Solucion #576: A8; B4; C2; D7; E5; F10; G1; H9; I6; J3; 
[04:16:51.873] Solucion #577: A8; B4; C2; D7; E10; F6; G1; H9; I5; J3; 
[04:16:51.873] Solucion #578: A8; B4; C9; D1; E3; F5; G7; H2; I10; J6; 
[04:16:51.873] Solucion #579: A8; B4; C9; D3; E5; F10; G1; H6; I2; J7; 
[04:16:51.883] Solucion #580: A8; B4; C9; D7; E3; F1; G6; H2; I5; J10; 
