[04:18:33.076] Solucion #1: A1; B3; C5; D2; E4; 
[04:18:33.146] Solucion #424: A6; B3; C9; D2; E4; 
[04:18:33.146] Solucion #425: A6; B3; C9; D4; E1; 
[04:18:33.146] Solucion #426: A6; B3; C9; D7; E1; 
[04:18:33.146] Solucion #427: A6; B4; C1; D5; E8; 
[04:18:33.146] Solucion #428: A6; B4; C1; D7; E5; 
[04:18:33.146] Solucion #429: A6; B4; C1; D8; E5; 
[04:18:33.146] Solucion #430: A6; B4; C2; D5; E3; 
[04:18:33.146] Solucion #431: A6; B4; C2; D7; E3; 
[04:18:33.146] Solucion #432: A6; B4; C2; D8; E3; 
[04:18:33.146] Solucion #433: A6; B4; C7; D1; E3; 
[04:18:33.146] Solucion #434: A6; B4; C7; D5; E3; 
[04:18:33.146] Solucion #435: A6; B4; C9; D1; E3; 
[04:18:33.146] Solucion #436: A6; B4; C9; D5; E3; 
[04:18:33.146] Solucion #437: A6; B4; C9; D7; E3; 
[04:18:33.156] Solucion #438: A6; B8; C1; D4; E7; 
[04:18:33.156] Solucion #439: A6; B8; C1; D5; E7; 
[04:18:33.156] Solucion #440: A6; B8; C1; D7; E4; 
[04:18:33.156] Solucion #441: A6; B8; C2; D4; E1; 
[04:18:33.156] Solucion #442: A6; B8; C2; D5; E1; 
[04:18:33.156] Solucion #443: A6; B8; C2; D7; E1; 
[04:18:33.156] Solucion #444: A6; B8; C3; D1; E4; 
[04:18:33.156] Solucion #445: A6; B8; C3; D5; E7; 
[04:18:33.156] Solucion #446: A6; B8; C3; D7; E4; 
[04:18:33.156] Solucion #447: A6; B8; C5; D1; E4; 
[04:18:33.156] Solucion #448: A6; B8; C5; D2; E4; 
[04:18:33.156] Solucion #449: A6; B8; C5; D7; E1; 
[04:18:33.156] Solucion #450: A6; B9; C1; D4; E7; 
[04:18:33.156] Solucion #451: A6; B9; C1; D5; E7; 
[04:18:33.156] Solucion #452: A6; B9; C1; D8; E4; 
[04:18:33.156] Solucion #453: A6; B9; C2; D4; E1; 
[04:18:33.156] Solucion #454: A6; B9; C2; D5; E1; 
[04:18:33.156] Solucion #455: A6; B9; C2; D8; E1; 
[04:18:33.156] Solucion #456: A6; B9; C3; D1; E4; 
[04:18:33.156] Solucion #457: A6; B9; C3; D5; E7; 
[04:18:33.156] Solucion #458: A6; B9; C3; D8; E4; 
[04:18:33.156] Solucion #459: A6; B9; C5; D1; E4; 
[04:18:33.156] Solucion #460: A6; B9; C5; D2; E4; 
[04:18:33.156] Solucion #461: A6; B9; C5; D8; E1; 
[04:18:33.156] Solucion #462: A6; B9; C7; D1; E3; 
[04:18:33.156] Solucion #463: A6; B9; C7; D2; E4; 
[04:18:33.156] Solucion #464: A6; B9; C7; D4; E1; 
[04:18:33.156] Solucion #465: A6; B9; C7; D5; E1; 
[04:18:33.156] Solucion #466: A7; B1; C3; D5; E2; 
[04:18:33.156] Solucion #467: A7; B1; C3; D6; E2; 
[04:18:33.156] Solucion #468: A7; B1; C3; D8; E2; 
[04:18:33.156] Solucion #469: A7; B1; C3; D9; E2; 
[04:18:33.156] Solucion #470: A7; B1; C4; D2; E5; 
[04:18:33.156] Solucion #471: A7; B1; C4; D6; E8; 
[04:18:33.156] Solucion #472: A7; B1; C4; D8; E5; 
[04:18:33.156] Solucion #473: A7; B1; C4; D9; E5; 
[04:18:33.156] Solucion #474: A7; B1; C6; D2; E5; 
[04:18:33.156] Solucion #475: A7; B1; C6; D8; E2; 
[04:18:33.156] Solucion #476: A7; B1; C6; D9; E2; 
[04:18:33.156] Solucion #477: A7; B1; C8; D2; E5; 
[04:18:33.156] Solucion #478: A7; B1; C8; D5; E2; 
[04:18:33.156] Solucion #479: A7; B1; C8; D6; E2; 
[04:18:33.156] Solucion #480: A7; B2; C4; D1; E8; 
[04:18:33.156] Solucion #481: A7; B2; C4; D6; E1; 
[04:18:33.156] Solucion #482: A7; B2; C4; D8; E1; 
[04:18:33.156] Solucion #483: A7; B2; C4; D9; E1; 
[04:18:33.156] Solucion #484: A7; B2; C6; D1; E9; 
[04:18:33.156] Solucion #485: A7; B2; C6; D3; E1; 
[04:18:33.156] Solucion #486: A7; B2; C6; D8; E1; 
[04:18:33.156] Solucion #487: A7; B2; C6; D9; E1; 
[04:18:33.156] Solucion #488: A7; B2; C8; D1; E4; 
[04:18:33.156] Solucion #489: A7; B2; C8; D3; E1; 
[04:18:33.156] Solucion #490: A7; B2; C8; D5; E1; 
[04:18:33.156] Solucion #491: A7; B2; C8; D6; E1; 
[04:18:33.156] Solucion #492: A7; B3; C1; D6; E2; 
[04:18:33.156] Solucion #493: A7; B3; C1; D8; E2; 
[04:18:33.156] Solucion #494: A7; B3; C1; D9; E2; 
[04:18:33.156] Solucion #495: A7; B3; C6; D2; E5; 
[04:18:33.156] Solucion #496: A7; B3; C6; D8; E1; 
[04:18:33.156] Solucion #497: A7; B3; C6; D9; E1; 
[04:18:33.156] Solucion #498: A7; B3; C8; D2; E4; 
[04:18:33.156] Solucion #499: A7; B3; C8; D6; E1; 
[04:18:33.156] Solucion #500: A7; B4; C1; D3; E5; 
[04:18:33.156] Solucion #501: A7; B4; C1; D5; E2; 
[04:18:33.156] Solucion #502: A7; B4; C1; D8; E2; 
[04:18:33.156] Solucion #503: A7; B4; C1; D9; E2; 
[04:18:33.156] Solucion #504: A7; B4; C2; D5; E8; 
[04:18:33.156] Solucion #505: A7; B4; C2; D8; E5; 
[04:18:33.156] Solucion #506: A7; B4; C2; D9; E5; 
[04:18:33.156] Solucion #507: A7; B4; C6; D1; E5; 
[04:18:33.156] Solucion #508: A7; B4; C6; D3; E5; 
[04:18:33.156] Solucion #509: A7; B4; C6; D8; E2; 
[04:18:33.156] Solucion #510: A7; B4; C6; D9; E2; 
[04:18:33.156] Solucion #511: A7; B4; C8; D1; E5; 
[04:18:33.156] Solucion #512: A7; B4; C8; D3; E5; 
[04:18:33.156] Solucion #513: A7; B4; C8; D5; E2; 
[04:18:33.156] Solucion #514: A7; B5; C1; D6; E4; 
[04:18:33.156] Solucion #515: A7; B5; C1; D8; E4; 
[04:18:33.156] Solucion #516: A7; B5; C1; D9; E4; 
[04:18:33.166] Solucion #517: A7; B5; C2; D6; E1; 
[04:18:33.166] Solucion #518: A7; B5; C2; D8; E1; 
[04:18:33.166] Solucion #519: A7; B5; C2; D9; E1; 
[04:18:33.166] Solucion #520: A7; B5; C3; D1; E4; 
[04:18:33.166] Solucion #521: A7; B5; C3; D6; E4; 
[04:18:33.166] Solucion #522: A7; B5; C3; D8; E4; 
[04:18:33.166] Solucion #523: A7; B5; C3; D9; E4; 
[04:18:33.166] Solucion #524: A7; B5; C8; D1; E4; 
[04:18:33.166] Solucion #525: A7; B5; C8; D2; E4; 
[04:18:33.166] Solucion #526: A7; B5; C8; D6; E1; 
[04:18:33.166] Solucion #527: A7; B9; C1; D3; E5; 
[04:18:33.166] Solucion #528: A7; B9; C1; D5; E2; 
[04:18:33.166] Solucion #529: A7; B9; C1; D6; E2; 
[04:18:33.166] Solucion #530: A7; B9; C1; D8; E2; 
[04:18:33.166] Solucion #531: A7; B9; C2; D5; E1; 
[04:18:33.166] Solucion #532: A7; B9; C2; D6; E1; 
[04:18:33.166] Solucion #533: A7; B9; C2; D8; E1; 
[04:18:33.166] Solucion #534: A7; B9; C3; D1; E4; 
[04:18:33.166] Solucion #535: A7; B9; C3; D5; E2; 
[04:18:33.166] Solucion #536: A7; B9; C3; D6; E2; 
[04:18:33.166] Solucion #537: A7; B9; C3; D8; E2; 
[04:18:33.166] Solucion #538: A7; B9; C4; D1; E5; 
[04:18:33.166] Solucion #539: A7; B9; C4; D2; E5; 
[04:18:33.166] Solucion #540: A7; B9; C4; D6; E1; 
[04:18:33.166] Solucion #541: A7; B9; C4; D8; E1; 
[04:18:33.166] Solucion #542: A7; B9; C6; D1; E5; 
[04:18:33.166] Solucion #543: A7; B9; C6; D2; E5; 
[04:18:33.166] Solucion #544: A7; B9; C6; D3; E1; 
[04:18:33.166] Solucion #545: A7; B9; C6; D8; E1; 
[04:18:33.166] Solucion #546: A8; B1; C3; D6; E2; 
[04:18:33.166] Solucion #547: A8; B1; C3; D7; E2; 
[04:18:33.166] Solucion #548: A8; B1; C3; D9; E2; 
[04:18:33.166] Solucion #549: A8; B1; C4; D2; E5; 
[04:18:33.166] Solucion #550: A8; B1; C4; D6; E3; 
[04:18:33.166] Solucion #551: A8; B1; C4; D7; E3; 
[04:18:33.166] Solucion #552: A8; B1; C4; D9; E3; 
[04:18:33.166] Solucion #553: A8; B1; C5; D2; E6; 
[04:18:33.166] Solucion #554: A8; B1; C5; D7; E2; 
[04:18:33.166] Solucion #555: A8; B1; C5; D9; E2; 
[04:18:33.166] Solucion #556: A8; B1; C7; D2; E6; 
[04:18:33.166] Solucion #557: A8; B1; C7; D4; E2; 
[04:18:33.166] Solucion #558: A8; B1; C7; D9; E2; 
[04:18:33.166] Solucion #559: A8; B1; C9; D2; E5; 
[04:18:33.166] Solucion #560: A8; B1; C9; D4; E2; 
[04:18:33.166] Solucion #561: A8; B1; C9; D6; E2; 
[04:18:33.166] Solucion #562: A8; B1; C9; D7; E2; 
[04:18:33.166] Solucion #563: A8; B2; C4; D1; E3; 
[04:18:33.166] Solucion #564: A8; B2; C4; D6; E1; 
[04:18:33.166] Solucion #565: A8; B2; C4; D7; E1; 
[04:18:33.166] Solucion #566: A8; B2; C4; D9; E1; 
[04:18:33.166] Solucion #567: A8; B2; C5; D1; E6; 
[04:18:33.166] Solucion #568: A8; B2; C5; D3; E1; 
[04:18:33.166] Solucion #569: A8; B2; C5; D7; E1; 
[04:18:33.166] Solucion #570: A8; B2; C5; D9; E1; 
[04:18:33.166] Solucion #571: A8; B2; C7; D1; E3; 
[04:18:33.166] Solucion #572: A8; B2; C7; D3; E1; 
[04:18:33.166] Solucion #573: A8; B2; C7; D9; E1; 
[04:18:33.166] Solucion #574: A8; B2; C9; D1; E3; 
[04:18:33.166] Solucion #575: A8; B2; C9; D3; E1; 
[04:18:33.166] Solucion #576: A8; B2; C9; D6; E1; 
[04:18:33.166] Solucion #577: A8; B2; C9; D7; E1; 
[04:18:33.166] Solucion #578: A8; B3; C1; D4; E2; 
[04:18:33.166] Solucion #579: A8; B3; C1; D6; E2; 
[04:18:33.166] Solucion #580: A8; B3; C1; D7; E2; 
[04:18:33.166] Solucion #581: A8; B3; C1; D9; E2; 
[04:18:33.166] Solucion #582: A8; B3; C5; D2; E9; 
[04:18:33.166] Solucion #583: A8; B3; C5; D7; E1; 
[04:18:33.166] Solucion #584: A8; B3; C5; D9; E1; 
[04:18:33.166] Solucion #585: A8; B3; C7; D4; E1; 
[04:18:33.166] Solucion #586: A8; B3; C7; D9; E1; 
[04:18:33.166] Solucion #587: A8; B3; C9; D2; E5; 
[04:18:33.166] Solucion #588: A8; B3; C9; D4; E1; 
[04:18:33.166] Solucion #589: A8; B3; C9; D6; E1; 
[04:18:33.166] Solucion #590: A8; B3; C9; D7; E1; 
[04:18:33.166] Solucion #591: A8; B4; C1; D3; E5; 
[04:18:33.166] Solucion #592: A8; B4; C1; D7; E2; 
[04:18:33.166] Solucion #593: A8; B4; C1; D9; E2; 
[04:18:33.166] Solucion #594: A8; B4; C2; D7; E3; 
[04:18:33.166] Solucion #595: A8; B4; C2; D9; E3; 
[04:18:33.166] Solucion #596: A8; B4; C7; D1; E3; 
[04:18:33.166] Solucion #597: A8; B4; C7; D3; E6; 
[04:18:33.166] Solucion #598: A8; B4; C7; D9; E2; 
[04:18:33.166] Solucion #599: A8; B4; C9; D1; E3; 
[04:18:33.166] Solucion #600: A8; B4; C9; D3; E5; 
[04:18:33.166] Solucion #601: A8; B4; C9; D7; E2; 
[04:18:33.166] Solucion #602: A8; B5; C1; D4; E6; 
[04:18:33.166] Solucion #603: A8; B5; C1; D6; E9; 
[04:18:33.166] Solucion #604: A8; B5; C1; D9; E6; 
[04:18:33.166] Solucion #605: A8; B5; C2; D4; E1; 
[04:18:33.166] Solucion #606: A8; B5; C2; D6; E1; 
[04:18:33.166] Solucion #607: A8; B5; C2; D9; E1; 
[04:18:33.166] Solucion #608: A8; B5; C3; D1; E6; 
[04:18:33.166] Solucion #609: A8; B5; C3; D6; E9; 
[04:18:33.166] Solucion #610: A8; B5; C3; D9; E6; 
[04:18:33.166] Solucion #611: A8; B5; C7; D1; E3; 
[04:18:33.166] Solucion #612: A8; B5; C7; D2; E6; 
[04:18:33.166] Solucion #613: A8; B5; C7; D4; E1; 
[04:18:33.166] Solucion #614: A8; B5; C7; D9; E1; 
[04:18:33.166] Solucion #615: A8; B5; C9; D1; E3; 
[04:18:33.176] Solucion #616: A8; B5; C9; D2; E6; 
[04:18:33.176] Solucion #617: A8; B5; C9; D4; E1; 
[04:18:33.176] Solucion #618: A8; B5; C9; D6; E1; 
[04:18:33.176] Solucion #619: A8; B6; C1; D3; E5; 
[04:18:33.176] Solucion #620: A8; B6; C1; D7; E2; 
[04:18:33.176] Solucion #621: A8; B6; C1; D9; E2; 
[04:18:33.176] Solucion #622: A8; B6; C2; D7; E1; 
[04:18:33.176] Solucion #623: A8; B6; C2; D9; E1; 
[04:18:33.176] Solucion #624: A8; B6; C3; D1; E7; 
[04:18:33.176] Solucion #625: A8; B6; C3; D7; E2; 
[04:18:33.176] Solucion #626: A8; B6; C3; D9; E2; 
[04:18:33.176] Solucion #627: A8; B6; C4; D1; E5; 
[04:18:33.176] Solucion #628: A8; B6; C4; D2; E5; 
[04:18:33.176] Solucion #629: A8; B6; C4; D7; E1; 
[04:18:33.176] Solucion #630: A8; B6; C4; D9; E1; 
[04:18:33.176] Solucion #631: A8; B6; C9; D1; E5; 
[04:18:33.176] Solucion #632: A8; B6; C9; D2; E5; 
[04:18:33.176] Solucion #633: A8; B6; C9; D3; E1; 
[04:18:33.176] Solucion #634: A8; B6; C9; D7; E1; 
[04:18:33.176] Solucion #635: A9; B1; C3; D5; E2; 
[04:18:33.176] Solucion #636: A9; B1; C3; D7; E2; 
[04:18:33.176] Solucion #637: A9; B1; C3; D8; E2; 
[04:18:33.176] Solucion #638: A9; B1; C4; D2; E7; 
[04:18:33.176] Solucion #639: A9; B1; C4; D7; E3; 
[04:18:33.176] Solucion #640: A9; B1; C4; D8; E3; 
[04:18:33.176] Solucion #641: A9; B1; C5; D2; E6; 
[04:18:33.176] Solucion #642: A9; B1; C5; D7; E2; 
[04:18:33.176] Solucion #643: A9; B1; C5; D8; E2; 
[04:18:33.176] Solucion #644: A9; B1; C6; D2; E7; 
[04:18:33.176] Solucion #645: A9; B1; C6; D4; E2; 
[04:18:33.176] Solucion #646: A9; B1; C6; D8; E2; 
[04:18:33.176] Solucion #647: A9; B1; C8; D2; E7; 
[04:18:33.176] Solucion #648: A9; B1; C8; D4; E2; 
[04:18:33.176] Solucion #649: A9; B1; C8; D5; E2; 
[04:18:33.176] Solucion #650: A9; B2; C4; D1; E3; 
[04:18:33.176] Solucion #651: A9; B2; C4; D7; E1; 
[04:18:33.176] Solucion #652: A9; B2; C4; D8; E1; 
[04:18:33.176] Solucion #653: A9; B2; C5; D1; E4; 
[04:18:33.176] Solucion #654: A9; B2; C5; D3; E1; 
[04:18:33.176] Solucion #655: A9; B2; C5; D7; E1; 
[04:18:33.176] Solucion #656: A9; B2; C5; D8; E1; 
[04:18:33.176] Solucion #657: A9; B2; C6; D1; E3; 
[04:18:33.176] Solucion #658: A9; B2; C6; D3; E1; 
[04:18:33.176] Solucion #659: A9; B2; C6; D8; E1; 
[04:18:33.176] Solucion #660: A9; B2; C8; D1; E3; 
[04:18:33.176] Solucion #661: A9; B2; C8; D3; E1; 
[04:18:33.176] Solucion #662: A9; B2; C8; D5; E1; 
[04:18:33.176] Solucion #663: A9; B3; C1; D4; E2; 
[04:18:33.176] Solucion #664: A9; B3; C1; D7; E2; 
[04:18:33.176] Solucion #665: A9; B3; C1; D8; E2; 
[04:18:33.176] Solucion #666: A9; B3; C5; D2; E4; 
[04:18:33.176] Solucion #667: A9; B3; C5; D7; E1; 
[04:18:33.176] Solucion #668: A9; B3; C5; D8; E1; 
[04:18:33.176] Solucion #669: A9; B3; C6; D2; E7; 
[04:18:33.176] Solucion #670: A9; B3; C6; D4; E1; 
[04:18:33.176] Solucion #671: A9; B3; C6; D8; E1; 
[04:18:33.176] Solucion #672: A9; B3; C8; D2; E4; 
[04:18:33.176] Solucion #673: A9; B3; C8; D4; E1; 
[04:18:33.176] Solucion #674: A9; B4; C1; D3; E6; 
[04:18:33.176] Solucion #675: A9; B4; C1; D5; E2; 
[04:18:33.176] Solucion #676: A9; B4; C1; D7; E2; 
[04:18:33.176] Solucion #677: A9; B4; C1; D8; E2; 
[04:18:33.176] Solucion #678: A9; B4; C2; D5; E3; 
[04:18:33.176] Solucion #679: A9; B4; C2; D7; E3; 
[04:18:33.176] Solucion #680: A9; B4; C2; D8; E3; 
[04:18:33.176] Solucion #681: A9; B4; C6; D1; E3; 
[04:18:33.176] Solucion #682: A9; B4; C6; D8; E2; 
[04:18:33.176] Solucion #683: A9; B4; C8; D1; E3; 
[04:18:33.176] Solucion #684: A9; B4; C8; D5; E2; 
[04:18:33.176] Solucion #685: A9; B5; C1; D4; E6; 
[04:18:33.176] Solucion #686: A9; B5; C1; D8; E4; 
[04:18:33.176] Solucion #687: A9; B5; C2; D4; E1; 
[04:18:33.176] Solucion #688: A9; B5; C2; D8; E1; 
[04:18:33.176] Solucion #689: A9; B5; C3; D1; E4; 
[04:18:33.176] Solucion #690: A9; B5; C3; D8; E4; 
[04:18:33.176] Solucion #691: A9; B5; C8; D1; E3; 
[04:18:33.176] Solucion #692: A9; B5; C8; D2; E4; 
[04:18:33.176] Solucion #693: A9; B5; C8; D4; E1; 
[04:18:33.176] Solucion #694: A9; B6; C1; D3; E7; 
[04:18:33.176] Solucion #695: A9; B6; C1; D5; E2; 
[04:18:33.176] Solucion #696: A9; B6; C1; D7; E2; 
[04:18:33.176] Solucion #697: A9; B6; C2; D5; E1; 
[04:18:33.176] Solucion #698: A9; B6; C2; D7; E1; 
[04:18:33.176] Solucion #699: A9; B6; C3; D1; E4; 
[04:18:33.176] Solucion #700: A9; B6; C3; D5; E2; 
[04:18:33.176] Solucion #701: A9; B6; C3; D7; E2; 
[04:18:33.176] Solucion #702: A9; B6; C4; D1; E7; 
[04:18:33.176] Solucion #703: A9; B6; C4; D2; E7; 
[04:18:33.176] Solucion #704: A9; B6; C4; D7; E1; 
[04:18:33.176] Solucion #705: A9; B6; C8; D1; E4; 
[04:18:33.176] Solucion #706: A9; B6; C8; D2; E4; 
[04:18:33.176] Solucion #707: A9; B6; C8; D3; E1; 
[04:18:33.176] Solucion #708: A9; B6; C8; D5; E1; 
[04:18:33.176] Solucion #709: A9; B7; C1; D3; E6; 
[04:18:33.176] Solucion #710: A9; B7; C1; D4; E2; 
[04:18:33.176] Solucion #711: A9; B7; C1; D8; E2; 
[04:18:33.176] Solucion #712: A9; B7; C2; D4; E1; 
[04:18:33.176] Solucion #713: A9; B7; C2; D8; E1; 
[04:18:33.176] Solucion #714: A9; B7; C3; D1; E6; 
[04:18:33.176] Solucion #715: A9; B7; C3; D8; E2; 
[04:18:33.176] Solucion #716: A9; B7; C4; D1; E3; 
[04:18:33.176] Solucion #717: A9; B7; C4; D2; E8; 
[04:18:33.176] Solucion #718: A9; B7; C4; D8; E1; 
[04:18:33.176] Solucion #719: A9; B7; C5; D1; E6; 
[04:18:33.176] Solucion #720: A9; B7; C5; D2; E6; 
[04:18:33.176] Solucion #721: A9; B7; C5; D3; E1; 
[04:18:33.176] Solucion #722: A9; B7; C5; D8; E1; 
